column;role;etapa;dtype;n_unique;pct_nonzero;near_constant;use_as_feature
appid;id;meta;int64;7817;100.0;False;False
name;id;meta;str;7788;;False;False
developer;id;meta;str;3672;;False;False
publisher;id;meta;str;2857;;False;False
release_date;id;meta;str;2689;;False;False
price;feature_numeric;pre;float64;380;79.3;False;True
is_free;feature_tag;pre;int64;2;13.7;False;True
owners_lower_bound;target_raw;meta;int64;12;100.0;False;False
ccu;target_raw;meta;int64;1064;73.8;False;False
rating_porcentaje;outcome_postlaunch;post;float64;3615;99.6;False;False
positive;outcome_postlaunch;post;int64;5033;99.6;False;False
negative;outcome_postlaunch;post;int64;2744;97.8;False;False
hub_followers;feature_numeric;pre;int64;2;0.0;True;False
total_achievements;feature_numeric;pre;int64;297;72.7;False;True
total_dlcs;feature_numeric;pre;int64;92;43.4;False;True
supported_languages;feature_numeric;pre;int64;42;100.0;False;True
controller_support;feature_categorical;pre;str;2;;False;True
platform_windows;feature_tag;pre;int64;2;60.8;False;True
platform_mac;feature_tag;pre;int64;2;18.5;False;True
platform_linux;feature_tag;pre;int64;2;12.3;False;True
min_ram_gb;feature_numeric;pre;float64;55;92.5;False;True
metacritic_score;outcome_postlaunch;post;int64;60;16.1;False;False
dev_game_count;feature_derived;pre;int64;20;100.0;False;True
dev_experience;feature_categorical;pre;str;3;;False;True
pub_game_count;feature_derived;pre;int64;34;100.0;False;True
pub_experience;feature_categorical;pre;str;3;;False;True
release_year;analysis_temporal;meta;int64;31;60.5;False;False
release_month;analysis_temporal;meta;int64;13;60.5;False;False
release_quarter;feature_categorical;pre;str;5;;False;True
price_tier;feature_categorical;pre;str;4;;False;True
short_desc_len;feature_numeric;pre;int64;328;100.0;False;True
genre_action;feature_tag;pre;int64;2;49.4;False;True
genre_adventure;feature_tag;pre;int64;2;41.2;False;True
genre_casual;feature_tag;pre;int64;2;24.7;False;True
genre_free_to_play;feature_tag;pre;int64;1;0.0;True;False
genre_indie;feature_tag;pre;int64;2;58.3;False;True
genre_massively_multiplayer;feature_tag;pre;int64;2;6.1;False;True
genre_rpg;feature_tag;pre;int64;2;25.2;False;True
genre_racing;feature_tag;pre;int64;2;3.6;False;True
genre_simulation;feature_tag;pre;int64;2;22.3;False;True
genre_sports;feature_tag;pre;int64;2;4.3;False;True
genre_strategy;feature_tag;pre;int64;2;25.1;False;True
genre_violent;feature_tag;pre;int64;2;0.2;False;True
genre_gore;feature_tag;pre;int64;2;0.1;False;True
genre_early_access;feature_tag;pre;int64;2;5.7;False;True
cat_single_player;feature_tag;pre;int64;2;91.1;False;True
cat_multi_player;feature_tag;pre;int64;2;38.0;False;True
cat_co_op;feature_tag;pre;int64;2;22.0;False;True
cat_online_co_op;feature_tag;pre;int64;2;15.6;False;True
cat_local_co_op;feature_tag;pre;int64;1;0.0;True;False
cat_full_controller_support;feature_tag;pre;int64;2;35.9;False;True
cat_partial_controller_support;feature_tag;pre;int64;2;17.5;False;True
cat_steam_achievements;feature_tag;pre;int64;2;67.6;False;True
cat_steam_cloud;feature_tag;pre;int64;2;49.1;False;True
cat_steam_workshop;feature_tag;pre;int64;2;9.3;False;True
cat_in_app_purchases;feature_tag;pre;int64;2;8.9;False;True
cat_steam_trading_cards;feature_tag;pre;int64;2;43.3;False;True
cat_remote_play_together;feature_tag;pre;int64;2;10.9;False;True
cat_shared_split_screen_co_op;feature_tag;pre;int64;2;5.8;False;True
tag_pixel_art;feature_tag;pre;int64;1;0.0;True;False
tag_first_person;feature_tag;pre;int64;2;17.7;False;True
tag_open_world;feature_tag;pre;int64;2;17.1;False;True
tag_crafting;feature_tag;pre;int64;2;5.0;False;True
tag_permadeath;feature_tag;pre;int64;1;0.0;True;False
tag_story_rich;feature_tag;pre;int64;2;19.9;False;True
tag_roguelike;feature_tag;pre;int64;1;0.0;True;False
tag_roguelite;feature_tag;pre;int64;1;0.0;True;False
tag_survival;feature_tag;pre;int64;2;10.7;False;True
tag_horror;feature_tag;pre;int64;2;12.3;False;True
tag_rpg;feature_tag;pre;int64;2;22.1;False;True
tag_action_rpg;feature_tag;pre;int64;2;6.9;False;True
tag_turn_based;feature_tag;pre;int64;2;4.9;False;True
tag_strategy;feature_tag;pre;int64;2;22.6;False;True
tag_tower_defense;feature_tag;pre;int64;2;2.0;False;True
tag_platformer;feature_tag;pre;int64;2;6.9;False;True
tag_metroidvania;feature_tag;pre;int64;2;1.8;False;True
tag_soulslike;feature_tag;pre;int64;1;0.0;True;False
tag_co_op;feature_tag;pre;int64;2;17.7;False;True
tag_multiplayer;feature_tag;pre;int64;2;30.4;False;True
tag_local_co_op;feature_tag;pre;int64;2;5.0;False;True
tag_pvp;feature_tag;pre;int64;2;8.4;False;True
tag_battle_royale;feature_tag;pre;int64;2;0.8;False;True
tag_sandbox;feature_tag;pre;int64;2;10.6;False;True
tag_simulation;feature_tag;pre;int64;2;19.5;False;True
tag_management;feature_tag;pre;int64;2;5.8;False;True
tag_city_builder;feature_tag;pre;int64;2;2.8;False;True
tag_sports;feature_tag;pre;int64;2;3.5;False;True
tag_racing;feature_tag;pre;int64;2;3.0;False;True
tag_puzzle;feature_tag;pre;int64;2;13.0;False;True
tag_point_&_click;feature_tag;pre;int64;2;5.1;False;True
tag_visual_novel;feature_tag;pre;int64;2;4.0;False;True
tag_anime;feature_tag;pre;int64;2;8.7;False;True
tag_2d;feature_tag;pre;int64;2;19.4;False;True
tag_3d;feature_tag;pre;int64;2;11.0;False;True
tag_realistic;feature_tag;pre;int64;2;7.8;False;True
tag_low_poly;feature_tag;pre;int64;1;0.0;True;False
tag_cartoon;feature_tag;pre;int64;2;1.9;False;True
tag_dark;feature_tag;pre;int64;2;6.5;False;True
tag_atmospheric;feature_tag;pre;int64;2;23.9;False;True
tag_relaxing;feature_tag;pre;int64;2;4.8;False;True
tag_difficult;feature_tag;pre;int64;2;10.3;False;True
tag_casual;feature_tag;pre;int64;2;22.2;False;True
tag_indie;feature_tag;pre;int64;2;35.1;False;True
tag_early_access;feature_tag;pre;int64;2;8.5;False;True
tag_free_to_play;feature_tag;pre;int64;2;11.4;False;True
tag_vr;feature_tag;pre;int64;2;3.6;False;True
tag_moba;feature_tag;pre;int64;2;0.7;False;True
tag_fps;feature_tag;pre;int64;2;11.6;False;True
tag_stealth;feature_tag;pre;int64;2;4.8;False;True
ts_total_reviews;timeseries_postlaunch;post;int64;888;97.9;False;False
ts_positive;timeseries_postlaunch;post;int64;976;97.0;False;False
ts_negative;timeseries_postlaunch;post;int64;510;95.0;False;False
ts_steam_purchase;timeseries_postlaunch;post;int64;975;96.9;False;False
ts_early_access;timeseries_postlaunch;post;int64;212;6.5;False;False
ts_months_active;timeseries_postlaunch;post;int64;33;97.9;False;False
ts_avg_playtime_hrs;timeseries_postlaunch;post;float64;4573;97.9;False;False
ts_positive_ratio;timeseries_postlaunch;post;float64;707;97.0;False;False
num_genres;feature_derived;pre;int64;11;99.0;False;True
num_tags;feature_derived;pre;int64;15;75.7;False;True
num_categories;feature_derived;pre;int64;12;99.6;False;True
is_early_access;feature_tag;pre;int64;2;9.9;False;True
label;target_label;meta;int64;3;72.6;False;False
label_name;target_label;meta;str;3;;False;False
dev_success_prior;feature_derived;pre;float64;50;100.0;False;True
