appid;month;review_count;positive_count;negative_count;steam_purchase_count;early_access_count;avg_playtime_at_review_hrs
10;2026-04;300;286;14;261;0;264.9
10;2026-05;700;676;24;559;0;324.12
30;2024-01;44;40;4;33;0;50.0
30;2024-02;31;30;1;25;0;315.02
30;2024-03;47;43;4;36;0;118.61
30;2024-04;50;47;3;38;0;280.26
30;2024-05;45;42;3;34;0;97.97
30;2024-06;49;49;0;36;0;177.61
30;2024-07;61;56;5;48;0;92.85
30;2024-08;33;29;4;22;0;386.11
30;2024-09;28;27;1;20;0;353.7
30;2024-10;30;27;3;27;0;40.76
30;2024-11;30;29;1;22;0;69.2
30;2024-12;42;35;7;30;0;303.32
30;2025-01;40;36;4;33;0;81.38
30;2025-02;31;25;6;18;0;175.03
30;2025-03;39;37;2;31;0;65.19
30;2025-04;27;25;2;22;0;99.67
30;2025-05;25;19;6;21;0;285.32
30;2025-06;29;27;2;26;0;33.1
30;2025-07;31;26;5;23;0;175.24
30;2025-08;21;19;2;16;0;20.21
30;2025-09;19;17;2;17;0;11.08
30;2025-10;31;30;1;17;0;292.53
30;2025-11;25;23;2;18;0;49.34
30;2025-12;36;32;4;27;0;145.83
30;2026-01;27;25;2;23;0;1225.23
30;2026-02;29;26;3;23;0;22.96
30;2026-03;36;30;6;30;0;21.5
30;2026-04;33;28;5;21;0;238.79
30;2026-05;16;15;1;9;0;26.96
40;2024-01;32;27;5;30;0;1.76
40;2024-02;19;15;4;16;0;6.74
40;2024-03;32;27;5;26;0;2.0
40;2024-04;19;15;4;14;0;4.48
40;2024-05;24;22;2;20;0;70.99
40;2024-06;30;26;4;29;0;7.14
40;2024-07;39;30;9;34;0;1.51
40;2024-08;32;31;1;28;0;52.0
40;2024-09;21;20;1;19;0;1.17
40;2024-10;13;10;3;11;0;1.87
40;2024-11;17;16;1;16;0;2.03
40;2024-12;35;23;12;32;0;2.68
40;2025-01;30;27;3;26;0;8.8
40;2025-02;11;9;2;8;0;12.94
40;2025-03;25;24;1;22;0;70.02
40;2025-04;10;8;2;9;0;43.54
40;2025-05;14;13;1;12;0;2.94
40;2025-06;17;12;5;14;0;4.76
40;2025-07;21;18;3;20;0;7.2
40;2025-08;13;13;0;10;0;5.61
40;2025-09;11;11;0;8;0;4.26
40;2025-10;17;15;2;16;0;3.26
40;2025-11;15;12;3;12;0;2.38
40;2025-12;11;10;1;11;0;53.77
40;2026-01;23;23;0;22;0;2.16
40;2026-02;18;16;2;14;0;9.05
40;2026-03;18;16;2;17;0;9.27
40;2026-04;22;17;5;19;0;104.6
40;2026-05;13;10;3;11;0;17.71
50;2026-02;219;208;11;210;0;8.63
50;2026-03;311;298;13;292;0;9.42
50;2026-04;281;269;12;262;0;41.98
50;2026-05;189;176;13;177;0;7.85
70;2026-04;161;155;6;120;0;21.87
70;2026-05;839;803;36;625;0;19.43
80;2025-12;173;160;13;149;0;91.19
80;2026-01;191;174;17;172;0;42.41
80;2026-02;162;147;15;143;0;82.59
80;2026-03;211;184;27;188;0;88.87
80;2026-04;145;130;15;124;0;67.74
80;2026-05;118;105;13;101;0;34.17
100;2025-01;44;44;0;40;0;12.85
100;2025-02;54;51;3;51;0;14.33
100;2025-03;57;52;5;54;0;19.82
100;2025-04;63;58;5;55;0;18.75
100;2025-05;44;41;3;39;0;7.95
100;2025-06;58;53;5;56;0;12.12
100;2025-07;81;75;6;75;0;10.88
100;2025-08;62;55;7;56;0;9.37
100;2025-09;44;37;7;38;0;8.09
100;2025-10;52;49;3;47;0;13.17
100;2025-11;63;57;6;59;0;11.89
100;2025-12;74;66;8;65;0;9.58
100;2026-01;67;61;6;64;0;7.01
100;2026-02;57;53;4;55;0;21.49
100;2026-03;69;62;7;62;0;8.86
100;2026-04;64;53;11;61;0;8.03
100;2026-05;47;39;8;42;0;6.44
130;2025-12;38;36;2;37;0;3.76
130;2026-01;285;265;20;267;0;8.45
130;2026-02;157;148;9;143;0;5.35
130;2026-03;220;212;8;209;0;6.03
130;2026-04;190;177;13;173;0;54.58
130;2026-05;110;98;12;101;0;5.23
220;2026-05;1000;955;45;699;0;30.12
240;2026-04;390;373;17;321;0;166.97
240;2026-05;610;589;21;508;0;193.14
280;2025-05;23;14;9;22;0;14.37
280;2025-06;69;48;21;67;0;11.5
280;2025-07;105;65;40;102;0;8.57
280;2025-08;90;52;38;86;0;14.1
280;2025-09;66;40;26;61;0;10.91
280;2025-10;73;44;29;64;0;11.45
280;2025-11;69;43;26;63;0;8.6
280;2025-12;111;68;43;101;0;10.62
280;2026-01;114;65;49;108;0;8.96
280;2026-02;71;49;22;66;0;5.99
280;2026-03;84;54;30;77;0;7.14
280;2026-04;73;54;19;71;0;7.13
280;2026-05;52;32;20;49;0;6.7
300;2025-07;68;65;3;60;0;64.27
300;2025-08;88;77;11;69;0;127.4
300;2025-09;77;72;5;58;0;179.88
300;2025-10;103;96;7;87;0;292.8
300;2025-11;92;83;9;61;0;243.08
300;2025-12;112;106;6;87;0;265.09
300;2026-01;139;130;9;111;0;292.6
300;2026-02;82;79;3;66;0;182.95
300;2026-03;109;98;11;84;0;175.99
300;2026-04;83;74;9;69;0;238.4
300;2026-05;47;44;3;39;0;364.12
320;2025-08;88;83;5;60;0;14.44
320;2025-09;76;68;8;46;0;153.16
320;2025-10;110;98;12;74;0;77.72
320;2025-11;123;113;10;76;0;150.5
320;2025-12;121;112;9;81;0;95.11
320;2026-01;122;111;11;84;0;61.77
320;2026-02;88;78;10;62;0;38.0
320;2026-03;97;84;13;60;0;36.85
320;2026-04;95;82;13;65;0;922.38
320;2026-05;79;69;10;48;0;13.84
340;2024-06;26;24;2;25;0;1.4
340;2024-07;177;161;16;157;0;3.42
340;2024-08;152;142;10;125;0;1.27
340;2024-09;106;96;10;91;0;1.25
340;2024-10;96;86;10;82;0;1.2
340;2024-11;104;93;11;85;0;4.96
340;2024-12;44;40;4;36;0;2.08
340;2025-01;25;23;2;20;0;4.99
340;2025-02;15;13;2;11;0;1.75
340;2025-03;22;21;1;16;0;2.08
340;2025-04;15;13;2;10;0;1.73
340;2025-05;21;18;3;16;0;2.23
340;2025-06;11;8;3;6;0;1.51
340;2025-07;21;20;1;19;0;3.81
340;2025-08;16;16;0;13;0;0.43
340;2025-09;15;13;2;11;0;1.08
340;2025-10;15;15;0;10;0;1.8
340;2025-11;17;14;3;9;0;0.9
340;2025-12;13;12;1;12;0;3.13
340;2026-01;25;21;4;21;0;1.0
